address,price,bedrooms,bathrooms_per_bedroom,full_bathrooms_filled,half_bathrooms,type,size_sqft,lot_size,lot_size_fixedunits
7103 Wolf Rivers Ave Las Vegas NV 89131,495000,4,1.0,4,1,Single Family Home,3811,0.32,13939.0
10669 Oak Crest Ave Las Vegas NV 89144,240000,3,0.666666666667,2,0,Single Family Home,1622,5662.0,5662.0
128 Celia Pl Las Vegas NV 89145,165000,4,0.5,2,0,Single Family Home,1895,6534.0,6534.0
517 Carpenter Dr Las Vegas NV 89107,120000,4,0.5,2,0,Single Family Home,1286,6534.0,6534.0
6515 Shining Sand Ave Las Vegas NV 89142,170000,4,0.5,2,0,Single Family Home,1521,5227.0,5227.0
9620 Sundial Dr Las Vegas NV 89134,289950,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1799,3049.0,3049.0
9053 Captivating Ave Las Vegas NV 89149,149500,3,0.666666666667,2,1,Single Family Home,1300,1742.0,1742.0
9425 Grand Mesa Dr Las Vegas NV 89134,137000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1021,2613.0,2613.0
10150 Bull Run Grove Ave Las Vegas NV 89166,358990,4,0.75,3,1,Single Family Home,3487,6098.0,6098.0
8471 Spirit Vale Ave Unit Lot 60 Las Vegas NV 89117,272565,4,0.5,2,1,Single Family Home,2008,3484.0,3484.0
8453 Spirit Vale Ave Unit Lot 57 Las Vegas NV 89117,256440,3,0.666666666667,2,1,Single Family Home,1748,3484.0,3484.0
5101 Saffron Dr Las Vegas NV 89142,130000,4,0.5,2,0,Single Family Home,1322,5227.0,5227.0
10245 S Maryland Pw Unit 204 Las Vegas NV 89123,97000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1053,,
571 Roxella Ln Apt D Las Vegas NV 89110,55000,2,0.5,1,0,Condo/Townhome/Row Home/Co-Op,844,1045.0,1045.0
7 Sable Ridge Ct Las Vegas NV 89135,15900000,5,1.8,9,0,Single Family Home,13255,,
7 Sable Ridge Ct Las Vegas NV 89135,15900000,5,1.8,9,0,Single Family Home,13255,0.59,25700.0
6951 Mira Vista St Las Vegas NV 89120,2150000,5,1.2,6,1,Single Family Home,7677,0.89,38768.0
2712 Marie Antoinette St Henderson NV 89044,869900,5,1.0,5,1,Single Family Home,4486,0.3,13068.0
7610 Eldora Ave Las Vegas NV 89117,749888,5,1.0,5,0,Single Family Home,3424,0.53,23087.0
9604 Royal Lamb Dr Las Vegas NV 89145,688000,5,0.8,4,0,Single Family Home,3176,6534.0,6534.0
5582 Cotton St Las Vegas NV 89110,135000,4,0.5,2,0,Single Family Home,1326,7405.0,7405.0
5215 Hibbetts Dr Las Vegas NV 89103,205900,3,0.666666666667,2,0,Single Family Home,1640,7840.0,7840.0
5059 Village Dr # 28 Las Vegas NV 89142,90000,3,0.666666666667,2,0,Condo/Townhome/Row Home/Co-Op,1240,2178.0,2178.0
8113 Spanish Peak Ave Las Vegas NV 89128,245000,3,0.666666666667,2,1,Condo/Townhome/Row Home/Co-Op,2173,3484.0,3484.0
8329 Wildwood Glen Dr Las Vegas NV 89131,154900,3,0.666666666667,2,1,Single Family Home,1497,2613.0,2613.0
8455 W Sahara Ave # 57 Las Vegas NV 89117,75000,1,1.0,1,0,Condo/Townhome/Row Home/Co-Op,663,2090.0,2090.0
10401 Saddle Mountain St Las Vegas NV 89178,284900,3,1.0,3,0,Single Family Home,2118,7405.0,7405.0
11181 Alora St Las Vegas NV 89141,217900,4,0.5,2,1,Single Family Home,1816,3920.0,3920.0
2419 Palma Vista Ave Las Vegas NV 89121,171000,4,0.5,2,0,Single Family Home,1572,7405.0,7405.0
Las Vegas NV 89121,159900,4,0.5,2,0,Single Family Home,2331,7405.0,7405.0
9649 Meeks Bay Ave Las Vegas NV 89148,169900,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1305,3920.0,3920.0
6380 Elwood Mead Ave Unit 103 Las Vegas NV 89156,142000,3,0.666666666667,2,1,Condo/Townhome/Row Home/Co-Op,1685,871.0,871.0
231 Mission Newport Ln Apt 202 Las Vegas NV 89107,52900,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,876,,
205 E Harmon Ave # 46 Las Vegas NV 89169,174900,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1296,,
5125 W Reno Ave # H Las Vegas NV 89118,127900,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1108,1089.0,1089.0
7107 S Durango Dr Unit 205 Las Vegas NV 89113,135000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1278,,
2519 Sierra Sage St Las Vegas NV 89134,179990,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1201,2613.0,2613.0
9304 Pink Pear Ct Las Vegas NV 89149,169990,3,0.666666666667,2,1,Condo/Townhome/Row Home/Co-Op,1636,2613.0,2613.0
4839 Double Down Dr Unit 103 Las Vegas NV 89122,142000,3,0.666666666667,2,1,Condo/Townhome/Row Home/Co-Op,1685,871.0,871.0
2725 S Nellis Blvd Unit 1001 Las Vegas NV 89121,56500,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1008,,
880 Mantis Way Unit 4 Las Vegas NV 89110,53000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,1022,4225.0,4225.0
5358 Coral Ribbon Ave Las Vegas NV 89139,169900,3,0.666666666667,2,1,Single Family Home,1493,2613.0,2613.0
513 Bachelor Button St Las Vegas NV 89138,365000,3,0.666666666667,2,1,Single Family Home,2470,4356.0,4356.0
Las Vegas NV 89143,149500,3,0.666666666667,2,1,Single Family Home,1397,3049.0,3049.0
9877 Amador Ranch Ave Las Vegas NV 89149,585135,4,0.75,3,1,Single Family Home,4250,0.43,18731.0
9329 Queen Charlotte Dr Las Vegas NV 89145,1079000,4,1.0,4,1,Single Family Home,4555,0.24,10454.0
754 Vegas Valley Dr Las Vegas NV 89109,469000,2,1.0,2,1,Single Family Home,2800,4791.0,4791.0
6705 Bent Wood Ct Las Vegas NV 89108,289990,3,0.666666666667,2,1,Single Family Home,2793,0.25,10890.0
1231 S Maryland Pw Las Vegas NV 89104,279000,6,0.5,3,0,Single Family Home,2032,8712.0,8712.0
Las Vegas NV 89101,102900,2,0.734790828853,1,0,Multi-Family Home,1002,6098.0,6098.0
505 Kolson Cir Las Vegas NV 89119,197900,4,0.734790828853,3,0,Multi-Family Home,3528,7405.0,7405.0
2305 S 15Th St Las Vegas NV 89104,149900,2,0.734790828853,1,0,Multi-Family Home,1826,7405.0,7405.0
1368 Pattee Cir Las Vegas NV 89119,249900,4,0.734790828853,3,0,Multi-Family Home,3536,0.33,14375.0
901 Staffordshire Cir Las Vegas NV 89110,195000,1,0.734790828853,1,0,Multi-Family Home,2896,8712.0,8712.0
5411 Del Gado Dr Las Vegas NV 89103,198900,4,0.734790828853,3,0,Multi-Family Home,3716,87.0,87.0
1801 Elm Ave Las Vegas NV 89101,175000,1,0.734790828853,1,0,Multi-Family Home,4134,0.26,11326.0
2690 Atlantic St Las Vegas NV 89121,299999,4,0.734790828853,3,0,Multi-Family Home,4326,0.23,10019.0
5001 N Cimarron Rd Las Vegas NV 89149,549888,4,0.75,3,1,Single Family Home,3234,0.48,20909.0
3609 Gulf Shores Dr Las Vegas NV 89122,54900,3,0.666666666667,2,0,Single Family Home,1296,4356.0,4356.0
10743 Balmoral St Las Vegas NV 89141,265000,3,0.666666666667,2,1,Single Family Home,2079,4356.0,4356.0
7537 Crooked Branch St Las Vegas NV 89143,179999,3,0.666666666667,2,1,Single Family Home,1707,3049.0,3049.0
3455 Cape Cod Dr Las Vegas NV 89122,47900,2,1.0,2,0,Mfd/Mobile Home,1152,4791.0,4791.0
4585 Denaro Dr Las Vegas NV 89135,375000,2,1.0,2,0,Single Family Home,1683,8276.0,8276.0
2970 Picasso Cir Las Vegas NV 89121,267500,5,0.4,2,1,Single Family Home,2827,8712.0,8712.0
6911 Bering Strait Ave Unit Lot 50 Las Vegas NV 89179,267955,3,0.666666666667,2,1,Single Family Home,2050,2613.0,2613.0
8625 Butterchurn Ave Las Vegas NV 89143,239900,4,0.5,2,0,Single Family Home,2126,6098.0,6098.0
7614 Keating Cir Las Vegas NV 89147,229900,4,0.75,3,0,Single Family Home,1968,0.24,10454.0
10100 Stony Ridge Dr Las Vegas NV 89144,1299000,4,1.0,4,1,Single Family Home,4629,0.42,18295.0
6025 Crystal Brook Ct Las Vegas NV 89149,549900,4,0.75,3,1,Single Family Home,3231,0.45,19602.0
Las Vegas NV 89113,485000,5,0.8,4,0,Single Family Home,3878,6969.0,6969.0
5955 Hopkinsville Ct Las Vegas NV 89148,399900,5,0.8,4,0,Single Family Home,3468,9583.0,9583.0
4509 Harbison Canyon Ct Las Vegas NV 89130,189900,3,0.666666666667,2,1,Single Family Home,1636,2613.0,2613.0
6422 Enchanting Ct Las Vegas NV 89156,184990,3,0.666666666667,2,1,Single Family Home,1938,7405.0,7405.0
717 Willowick Ave North Las Vegas NV 89031,169990,4,0.5,2,0,Single Family Home,1498,6098.0,6098.0
6204 Govett Crescent Ct Las Vegas NV 89130,204900,4,0.5,2,1,Single Family Home,1916,2613.0,2613.0
7979 Teal Harbor Ave Las Vegas NV 89117,192000,3,0.666666666667,2,0,Single Family Home,1244,3920.0,3920.0
500 Elm Dr Unit 206 Las Vegas NV 89169,99000,1,1.0,1,1,Condo/Townhome/Row Home/Co-Op,770,,
480 King Richard Unit 21 Las Vegas NV 89119,25000,2,1.0,2,0,Condo/Townhome/Row Home/Co-Op,862,,
844 Paseo Rocoso Pl Las Vegas NV 89138,372000,4,0.5,2,1,Single Family Home,2648,5662.0,5662.0
8645 Stone Harbor Ave Las Vegas NV 89145,285900,4,0.5,2,0,Single Family Home,2102,7405.0,7405.0
Las Vegas NV 89139,280000,4,0.5,2,1,Single Family Home,2226,4356.0,4356.0
3360 W Le Baron Ave Las Vegas NV 89141,350000,3,0.666666666667,2,0,Single Family Home,2047,0.5,21780.0
10102 Glen Aire Ave Las Vegas NV 89148,259900,3,0.666666666667,2,1,Single Family Home,2032,3484.0,3484.0
5505 Escallonia St Las Vegas NV 89149,259000,3,0.666666666667,2,0,Single Family Home,1977,7840.0,7840.0
5926 W Agate Ave Las Vegas NV 89139,160000,3,0.666666666667,2,1,Single Family Home,1231,3049.0,3049.0
Las Vegas NV 89081,160000,4,0.5,2,1,Single Family Home,1792,5227.0,5227.0
